s_1_1;s_218_1;s_219_1;s_2_1;s_3;s_4;s_5;s_6;s_7;s_8;s_19;s_23;s_191_1;s_191_2;s_191_3;s_191_4;s_191_5;s_84;s_85;s_86;s_87;s_173;s_192;s_227;s_228;s_229;s_230;s_231;s_232;s_233;s_234;s_235;s_236;s_284;s_285;s_286;s_287;s_288;s_336;s_337;s_338;s_339;s_340;s_341;s_342;s_343;s_111;s_391;s_392;s_393;s_394;s_395;s_396;s_397;s_398;s_399;s_401;s_410;s_421;s_427;s_436;s_446;s_460;s_461;s_112;s_200;s_217;s_204;s_205;s_206;s_207;s_208;s_209;s_210;s_211;s_216;s_143;s_144;s_145;s_146;s_147;s_148;s_149;lang;stato_1;stato_2;stato_3;stato_4;stato_5
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;2;29;Colombia;4;2;4;30;6;1;1;0;0;1;3;3;3;5;7;6;6;5;5;4;5;4;5;4;2;2;;;;;;;;;;;;;;;6;5;5;4;3;3;2;4;4;5;4;6;2;7;5;5;2;;1;1;3;No me parece pertinente comoartir este tipo de información, considero que genera estrés;3;Prefiero estar lo.mas distante del tema, por problemas de estres;3;Por estrés;3;Ayuda a distraer a las personas de la problemática, reduce el estrés;;2;2;3;2;1;4;2;3;0;0;0;1;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;4;42;USA;5;1;3;23;2;1;1;0;0;1;2;4;2;5;1;1;5;2;4;1;4;1;6;6;6;4;;;;;;;;;;;;;;;6;2;5;1;3;4;1;5;4;6;1;4;1;1;5;2;4;;2;1;2;;;;2;;2;;;4;4;4;4;2;3;4;2;0;0;0;1;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;0;0;1;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;2;26;Thailand;4;1;1;20;2;1;1;0;1;1;5;5;4;5;2;1;5;7;5;2;2;5;2;5;4;1;;;;;;2;2;1;4;1;1;3;2;I don?t remember the game name, but the game is on application;4;4;5;1;5;4;3;4;4;4;1;1;1;1;1;5;4;No;1;1;2;I often called or massage people rather then share;1;It?s a serious situation and I don?t like people to make fun of it.;1;Refer to above answer to question before;1;I seldom share thing on internet. I shared at maximum 3 times a year.;No;2;2;1;1;1;1;2;2;0;0;0;1;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;2;28;Thailand;5;1;3;30;4;1;1;1;1;1;1;4;1;1;1;1;6;2;2;2;5;2;5;1;5;2;5;5;1;5;2;4;5;5;1;2;5;5;2;Call me the emperor ??????????????? ???????????????????????? ?????????;5;4;1;2;6;6;1;6;5;4;1;1;1;1;1;5;4;?????????????????????????????? ?????????????? ?????? ?????????????????????????????? ????????????????????????????? ??????????????????????? ???????????????????????????? ????????????????????????????????????????? ????????????????????????? ??????????????????????? ???????????????????????????? ???????????????????????????????????????????????;1;1;3;????????????????????19 ??????????????????? ??????????????????? ?????????????????????;3;????????????????????????? ??????????????????? ????? ?????????????????????????;3;????????????????????;4;???????????????????????????????19 ?????????????????;;2;2;2;2;2;1;1;7;0;0;0;1;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;2;23;Colombia;4;2;4;31;4;1;1;0;1;1;6;6;5;2;2;1;4;3;6;4;3;5;1;6;1;1;;;;;;4;5;5;5;5;4;1;1;Parchis;4;5;4;2;5;3;1;1;1;1;4;6;5;4;6;5;1;;1;1;3;Me hacen gracia y es ver con otros ojos el problema;4;Me hacen gracia;4;Me parece divertido para charlar con mis amigos;5;Se me hacen divertidos y me gusta compartir la diversión;;2;2;3;3;2;4;2;3;0;0;0;1;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;2;39;Colombia;5;;3;27;1;1;1;1;0;1;3;5;2;5;1;2;5;4;2;2;3;2;4;5;2;2;2;2;1;1;1;;;;;;;;;;4;4;2;2;2;2;1;2;2;3;2;4;2;2;4;4;2;;1;1;3;Porque me parece una manera práctica de hacerlo;3;Porque me hace sentir mejor;3;Porque me hace sentir mejor;3;Porque reducen mi ansiedad;;2;1;2;2;1;1;2;3;0;0;0;1;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;1;30;Colombia;4;1;1;30;3;1;1;1;1;1;1;1;1;6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;6;4;6;4;4;1;2;2;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;2;;1;2;;;3;;;;;;;2;2;2;2;2;1;2;3;0;0;0;1;0
1;1;1;1;2;23;Thailand;8;1;1;44;3;1;0;0;0;1;5;2;7;7;7;7;;;;;;;;;;;;;;;;;;;;;;;;;6;5;6;5;5;6;1;6;6;4;2;2;1;2;2;3;6;;2;2;;;;;;;;;???;2;1;4;4;4;;3;7;0;0;0;1;0
1;1;1;1;2;27;Colombia;4;;1;22;3;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0;0;1;0;0
1;1;1;1;2;32;Thailand;5;1;4;30;4;1;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;0;0;1;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;2;33;Thailand;8;1;3;28;3;1;1;1;0;0;4;5;3;6;3;2;6;4;3;3;3;6;3;3;3;3;4;3;3;3;3;;;;;;;;;;;;;;;;;;;;4;6;2;2;3;4;3;;1;1;4;??????????;2;;3;????????????????????;3;????????;;2;3;2;1;1;2;2;7;0;0;0;1;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0;0;1;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0;0;1;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;2;20;Colombia;8;2;4;41;4;1;1;0;0;1;4;6;5;4;1;1;6;6;6;7;2;5;2;5;4;1;;;;;;;;;;;;;;;2;4;5;2;6;5;1;5;5;2;2;2;2;1;1;4;3;;1;1;3;Me divierten;4;Son divertidos;3;;4;;;2;1;2;2;1;2;1;3;0;0;0;1;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0;0;1;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;2;25;Sweden;5;1;2;20;1;1;1;0;0;1;2;4;2;4;2;1;4;3;4;2;4;7;7;5;7;7;;;;;;;;;;;;;;;6;4;6;3;6;5;1;6;5;4;2;4;7;6;6;4;6;;1;2;;;5;it lightens the mood and is a good coping strategy for a disaster;;;;;;2;2;2;4;2;3;1;2;0;0;0;1;0
1;1;1;1;1;21;Colombia;2;1;1;0;2;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0;0;1;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;0;0;1;0;0
1;1;1;1;2;27;Colombia;4;1;1;27;4;1;1;0;1;1;4;5;2;5;1;1;2;5;4;1;5;2;7;5;3;1;;;;;;6;4;4;5;5;3;3;1;Parchis  Rummikub  Preguntados  Triviador  Nonogram  Quizup  Smashing four;4;3;5;7;2;1;1;3;2;2;5;4;1;2;5;4;3;;1;1;1;Porque no considero el covid-19 como un tema que cause gracia.;1;;1;;5;;;1;2;4;2;2;2;1;3;0;0;0;1;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0;0;1;0;0
1;1;1;1;2;27;Colombia;4;2;4;47;1;1;1;1;0;1;6;5;3;6;2;1;4;4;4;7;5;2;5;4;2;1;5;3;3;2;1;;;;;;;;;;3;3;2;4;2;2;1;2;1;4;2;1;1;2;5;5;2;Considero que el ver noticias sobre cómo va la situación del Covid-19 aumenta el pánico en las personas, los usos que se le da a la tecnología si ayuda un poco a olvidarse del problema hoy,  pero no es suficiente cuando extrañas a la familia. Pienso que hay cosas mucho más importantes que son las que ayudan a estar motivado. (A);2;2;;;;;;;;;;2;1;2;1;2;2;2;3;0;0;0;1;0
1;1;1;1;2;24;Colombia;4;1;3;40;;1;1;0;0;1;2;5;2;2;1;1;3;2;3;1;1;1;1;6;2;2;;;;;;;;;;;;;;;4;5;2;1;2;1;1;2;2;3;7;7;7;7;7;5;1;;1;1;3;Porque algunos de mis contactos han sido irresponsables y siento que la info solo les entra a punta de chistes;5;Me ayudan a bajarle al estrés;4;Solo entre contactos de confianza para no herir susceptibilidades;5;Me dan risa;;2;2;2;2;2;2;2;3;0;0;0;1;0
1;1;1;1;1;37;Chile;5;1;3;53;5;1;1;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0;0;1;0;0
1;1;1;1;2;20;Colombia;8;2;4;24;6;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0;0;1;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;2;23;Colombia;8;2;2;42;4;1;1;1;0;1;7;5;7;7;7;7;7;4;1;1;4;1;6;1;1;1;4;1;1;1;1;;;;;;;;;;4;6;1;2;2;1;1;1;1;1;5;4;1;4;1;6;1;;1;2;;;3;;;;;;;2;1;3;4;1;2;1;3;0;0;0;1;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;1;22;Colombia;4;1;3;35;4;1;1;1;1;1;6;5;4;2;1;1;5;1;4;1;1;5;6;5;2;7;6;4;1;7;7;5;1;1;3;2;1;1;1;Shadow of Tomb Raider;6;5;5;1;5;4;1;1;1;4;2;2;2;7;2;2;1;;1;1;2;;3;;3;;5;;;1;1;4;2;1;3;3;3;0;0;0;1;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0;0;1;0;0
1;1;1;1;2;20;Colombia;8;1;2;;6;1;1;0;0;1;1;3;3;2;1;1;6;1;6;1;3;1;3;1;1;1;;;;;;;;;;;;;;;5;1;5;3;1;1;1;2;4;1;1;1;1;1;1;1;1;;1;2;;;3;;;;;;;1;1;1;1;1;2;2;3;0;0;0;1;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;2;26;Colombia;4;1;1;25;1;1;1;1;0;1;3;5;1;6;2;2;6;5;6;4;3;6;5;5;5;3;6;4;5;3;2;;;;;;;;;;6;6;6;4;6;4;2;4;3;6;3;5;2;7;4;4;2;;1;1;4;;5;;4;;3;;;2;1;2;1;1;3;2;3;0;0;0;1;0
1;1;1;1;2;36;Colombia;5;1;2;40;1;1;1;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0;0;1;0;0
1;1;1;1;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;0;0;1;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;2;22;Colombia;4;2;4;37;2;1;1;0;1;1;2;4;1;4;1;1;6;6;6;1;5;5;4;5;1;1;;;;;;1;7;1;1;1;1;1;1;;6;4;4;4;5;2;1;2;1;2;1;1;1;1;1;5;1;;1;1;3;;3;;3;;4;;;2;1;2;1;1;1;2;3;0;0;0;1;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;1;31;Colombia;4;1;3;56;1;1;1;1;0;1;5;4;2;6;2;1;2;3;4;1;4;1;5;5;1;1;4;5;4;1;1;;;;;;;;;;4;4;4;1;3;1;1;1;1;4;6;4;6;3;4;5;1;;1;1;3;Algunos son graciosos pero en general los que son muy realistas no, prefiero los que se mofan de las malas decisiones de la sociedad frente al virus.;5;Me hace reír.;5;Para hacer reír a otros.;5;Sigo la vida como lo hacía antes del Covid.;;2;1;2;2;2;2;2;3;0;0;0;1;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;1;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0;0;1;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;2;;Colombia;2;;1;29;4;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0;0;1;0;0
1;1;1;1;1;45;Colombia;5;1;3;42;2;1;1;1;1;1;6;6;2;6;2;2;5;2;2;5;2;4;2;5;2;2;5;2;2;2;4;2;1;1;1;1;1;1;1;;2;5;1;2;5;2;1;2;2;2;2;5;2;2;2;4;2;;1;1;3;;5;;4;;5;;;1;2;2;1;2;2;2;3;0;0;0;1;0
1;1;1;1;2;;Colombia;8;1;1;41;4;1;1;1;0;1;3;4;1;5;1;1;4;2;4;3;1;4;1;4;4;4;4;1;1;1;1;;;;;;;;;;4;1;1;1;1;1;1;1;1;1;1;4;1;4;4;4;1;;1;1;1;;3;;3;;5;;;2;4;1;3;3;2;1;3;0;0;0;1;0
1;1;1;1;1;43;Colombia;4;1;1;30;4;1;1;0;1;0;1;7;1;4;7;7;3;7;1;1;1;5;1;5;1;1;;;;;;2;2;1;1;7;1;1;1;Juegos de antaño de play station;;;;;;;;;;;1;1;2;1;1;1;1;Mis respuestas se dan porq estoy con mi familia en una finca donde tenemos actividades q realizar todos los dias;1;2;;;3;Es una mirada jocosa de la situacion, no siempre se tiene q ver la parte negativa;;;;;;1;1;1;1;1;1;2;3;0;0;0;1;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;2;;;;2;1;25;1;1;1;1;0;1;6;5;4;6;1;1;6;5;6;2;4;5;5;5;5;3;5;2;5;3;2;;;;;;;;;;6;5;6;5;5;2;1;4;3;5;2;5;3;4;5;4;4;Si bien las redes sociales es algunos momentos ayudan a pasar el tiempon en aislamiento también provocan ansiedad al ver la sobre información sobre la pandemia o sentimientos de culpa e inutilidad.;1;1;3;Suaviza un poco la angustia relacionada con el tema.;3;Suaviza un poco la angustia relacionada con el tema.;3;Suaviza un poco la angustia relacionada con el tema.;3;Para pasar el rato con algo de humor.;;2;2;4;2;1;2;2;3;0;0;0;1;0
1;1;1;1;1;27;Mexico;5;1;3;19;2;1;1;1;1;1;4;5;4;6;5;3;5;5;5;5;5;5;2;6;2;2;2;3;3;3;2;4;5;5;5;6;5;2;2;Violencia;5;5;4;2;6;1;1;2;2;2;4;4;2;2;4;4;3;;1;1;3;Para matar el tiempo;4;Para reir;4;Para hacer reir;4;Para reir;;2;1;1;1;1;4;2;3;0;0;0;1;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;1;32;Thailand;5;1;3;26;2;1;1;1;0;1;5;6;5;3;2;3;5;5;3;2;6;6;5;4;5;6;6;3;3;6;6;;;;;;;;;;5;2;3;2;6;6;1;6;5;5;3;6;5;7;5;5;5;;1;1;3;???????? fake news;3;??????????;3;??????????;2;?????????????????????????? ????????????????????????????????????????????? ???????????;;3;2;3;2;2;2;4;7;0;0;0;1;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;2;35;COLOMBIA;5;1;2;31;2;1;1;1;0;1;1;4;2;4;2;2;2;2;3;2;2;2;6;5;2;2;2;2;2;2;2;;;;;;;;;;2;2;2;2;2;4;2;2;2;2;4;3;3;3;3;2;2;;1;2;;;3;;;;;;;2;1;2;2;1;1;2;3;0;0;0;1;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;2;28;Colombia;4;1;2;27;2;1;1;1;0;1;3;5;4;5;1;1;2;4;2;6;5;4;4;5;2;2;3;7;2;2;2;;;;;;;;;;5;3;4;4;3;2;1;4;2;7;2;5;2;2;5;5;2;;1;1;2;;5;Hay que tener sentido del humor en tiempos de incertidumbre;3;Hay que tener sentido del humor en tiempos de incertidumbre;3;;;3;1;4;3;2;2;1;3;0;0;0;1;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;1;42;Brasil;5;1;1;40;2;1;1;1;0;1;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;;;;;;;;;;3;3;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;;1;1;2;;3;;3;;3;;;1;1;1;1;1;1;1;3;0;0;0;1;0
1;1;1;1;2;41;Colombia;4;1;2;80;2;1;1;1;1;1;4;4;2;6;7;1;2;2;5;7;7;5;4;5;1;1;2;1;4;2;2;7;7;7;;7;7;7;7;;4;2;4;2;4;2;1;1;1;2;2;4;2;5;2;1;1;;2;1;3;aveces porque son certeros ybotras porque son graciosos;;;2;debe ser muy gracioso y certero;4;Porque nos hacen reir;;2;1;1;;;2;2;3;0;0;0;1;0
1;1;1;1;2;26;Colombia;4;2;4;25;2;1;1;1;1;1;5;5;4;6;2;2;6;6;6;5;2;2;6;1;4;6;5;4;4;2;2;7;7;7;7;7;7;7;7;;4;4;4;2;2;2;1;2;1;2;2;6;5;7;5;4;2;;1;1;2;;2;;2;;5;;;2;1;2;1;1;2;2;3;0;0;0;1;0
1;1;1;1;1;33;Thailand;8;1;3;30;2;1;1;1;1;1;6;6;3;6;2;1;4;5;4;7;5;4;6;3;2;1;3;5;5;1;1;6;6;3;6;6;6;4;4;;3;4;4;3;4;2;1;1;1;5;3;3;3;1;2;5;1;;1;1;3;;4;;3;;4;;;1;4;2;1;1;1;2;7;0;0;0;1;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;2;24;Colombia;4;1;3;35;0;1;1;0;0;1;3;6;5;3;1;1;6;6;6;1;1;4;1;6;1;1;;;;;;;;;;;;;;;6;6;6;1;4;1;1;4;4;1;1;1;1;1;1;5;4;;1;1;2;Para no contaminar las redes de información, pero si el meme es muy chistoso, lo comparto con mi grupo de amigos cercano;3;Para reírme;2;Para hacer reír a mi grupo cercano de amigos;5;Porque hay memes muy chistosos que valen la pena compartir;;2;1;2;2;1;1;3;2;0;0;0;1;0
1;1;1;1;2;38;Colombia;5;2;1;34;2;1;1;0;0;1;5;4;2;5;7;1;4;2;4;7;2;2;2;5;7;7;;;;;;;;;;;;;;;6;5;4;7;4;2;2;6;5;2;7;2;5;7;6;5;7;;2;1;3;Manejan una especie de ?lenguaje universal, una vía básica para ?informarse?, incluso posibilitan cierto nivel de reflexión;;;3;La función del humor, absolutamente importante en todo momento. La distensión.;3;Porque además Covid-16  siguen sucediendo cosas.;;1;2;2;1;2;1;2;3;0;0;0;1;0
1;1;1;1;1;38;Colombia;5;1;2;30;3;1;1;0;0;1;5;5;3;5;2;2;3;2;5;5;5;3;5;5;2;5;;;;;;;;;;;;;;;5;5;5;4;3;2;2;2;2;5;4;2;3;1;4;4;4;;1;1;4;Forma de comunicar y tratar de generar conciencia;3;Algunos son divertidos;4;Cpncientizar y pasar el rato;4;;;2;2;2;2;2;3;2;3;0;0;0;1;0
1;1;1;1;2;65;USA;5;1;1;39;0;1;1;1;0;0;5;4;1;1;2;1;3;1;1;1;1;1;5;1;1;1;3;1;1;1;1;;;;;;;;;;;;;;;;;;;;7;7;7;7;7;1;6;;1;1;4;Because I sometimes encountered them informative;5;Because a little humor is related to feeling good;5;Because if I laugh I feel great and I like to share that feeling with others;4;Because they are usually funny;;1;1;1;1;1;1;1;2;0;0;0;1;0
0;0;0;0;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0
1;1;1;1;1;;Colombia;5;1;2;;;1;0;0;0;0;5;5;5;5;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5;5;5;5;5;5;no;2;2;;;;;;;;;no;2;2;2;2;2;2;2;3;0;0;0;1;0
